bin_index,bin_lower,bin_upper,bin_center,sample_count,accuracy,mean_confidence,calibration_gap,model_name,crop,subset_name,is_calibrated
8,0.7000000000000001,0.8,0.75,37,0.8648648858070374,0.740903913974762,0.12396097183227539,Chilli,Chilli,internal_test,True
9,0.8,0.9,0.8500000000000001,36,0.9166666865348816,0.8562281727790833,0.06043851375579834,Chilli,Chilli,internal_test,True
10,0.9,1.0,0.95,29,0.931034505367279,0.9458938241004944,0.014859318733215332,Chilli,Chilli,internal_test,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,validation,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,validation,False
3,0.2,0.30000000000000004,0.25,0,0.0,0.0,0.0,Chilli,Chilli,validation,False
4,0.30000000000000004,0.4,0.35000000000000003,15,0.4000000059604645,0.37416332960128784,0.025836676359176636,Chilli,Chilli,validation,False
5,0.4,0.5,0.45,47,0.4893617033958435,0.4539036452770233,0.03545805811882019,Chilli,Chilli,validation,False
6,0.5,0.6000000000000001,0.55,50,0.5,0.551452100276947,0.05145210027694702,Chilli,Chilli,validation,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,33,0.6666666865348816,0.6474334597587585,0.019233226776123047,Chilli,Chilli,validation,False
8,0.7000000000000001,0.8,0.75,47,0.6382978558540344,0.7468486428260803,0.1085507869720459,Chilli,Chilli,validation,False
9,0.8,0.9,0.8500000000000001,30,0.7666666507720947,0.852039098739624,0.0853724479675293,Chilli,Chilli,validation,False
10,0.9,1.0,0.95,68,0.8823529481887817,0.9491488337516785,0.06679588556289673,Chilli,Chilli,validation,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,validation,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,validation,True
3,0.2,0.30000000000000004,0.25,1,0.0,0.2938936650753021,0.2938936650753021,Chilli,Chilli,validation,True
4,0.30000000000000004,0.4,0.35000000000000003,31,0.4838709533214569,0.36899399757385254,0.11487695574760437,Chilli,Chilli,validation,True
5,0.4,0.5,0.45,57,0.4912280738353729,0.45385339856147766,0.037374675273895264,Chilli,Chilli,validation,True
6,0.5,0.6000000000000001,0.55,49,0.5510203838348389,0.5444475412368774,0.006572842597961426,Chilli,Chilli,validation,True
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,50,0.6600000262260437,0.6563472747802734,0.0036527514457702637,Chilli,Chilli,validation,True
8,0.7000000000000001,0.8,0.75,27,0.7037037014961243,0.7494581937789917,0.04575449228286743,Chilli,Chilli,validation,True
9,0.8,0.9,0.8500000000000001,43,0.8604651093482971,0.8525257706642151,0.007939338684082031,Chilli,Chilli,validation,True
10,0.9,1.0,0.95,32,0.9375,0.9367175102233887,0.0007824897766113281,Chilli,Chilli,validation,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,internal_test,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,internal_test,False
3,0.2,0.30000000000000004,0.25,2,0.5,0.2761234641075134,0.22387653589248657,Chilli,Chilli,internal_test,False
4,0.30000000000000004,0.4,0.35000000000000003,14,0.4285714328289032,0.36909082531929016,0.05948060750961304,Chilli,Chilli,internal_test,False
5,0.4,0.5,0.45,34,0.47058823704719543,0.45732569694519043,0.013262540102005005,Chilli,Chilli,internal_test,False
6,0.5,0.6000000000000001,0.55,64,0.390625,0.5537973046302795,0.16317230463027954,Chilli,Chilli,internal_test,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,48,0.5416666865348816,0.6470126509666443,0.1053459644317627,Chilli,Chilli,internal_test,False
8,0.7000000000000001,0.8,0.75,32,0.71875,0.7491782903671265,0.030428290367126465,Chilli,Chilli,internal_test,False
9,0.8,0.9,0.8500000000000001,37,0.9189189076423645,0.8431041836738586,0.07581472396850586,Chilli,Chilli,internal_test,False
10,0.9,1.0,0.95,59,0.9152542352676392,0.9529608488082886,0.037706613540649414,Chilli,Chilli,internal_test,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Chilli,Chilli,internal_test,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Chilli,Chilli,internal_test,True
3,0.2,0.30000000000000004,0.25,4,0.5,0.27892163395881653,0.22107836604118347,Chilli,Chilli,internal_test,True
4,0.30000000000000004,0.4,0.35000000000000003,22,0.3636363744735718,0.36792275309562683,0.004286378622055054,Chilli,Chilli,internal_test,True
5,0.4,0.5,0.45,59,0.49152541160583496,0.45937639474868774,0.03214901685714722,Chilli,Chilli,internal_test,True
6,0.5,0.6000000000000001,0.55,67,0.43283581733703613,0.5473766922950745,0.11454087495803833,Chilli,Chilli,internal_test,True
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,36,0.6944444179534912,0.6428356766700745,0.05160874128341675,Chilli,Chilli,internal_test,True
